CMDLINE /Users/williamcrupi/anaconda3/bin/python db_gui.py
MEM 77.812500 1697247012.2496
MEM 77.812500 1697247012.3726
MEM 77.812500 1697247012.4950
MEM 77.812500 1697247012.6144
MEM 77.820312 1697247012.7321
MEM 77.820312 1697247012.8519
MEM 77.820312 1697247012.9746
MEM 77.820312 1697247013.0967
MEM 77.820312 1697247013.2160
MEM 77.496094 1697247013.3348
MEM 77.496094 1697247013.4557
MEM 77.496094 1697247013.5748
MEM 77.500000 1697247013.6962
MEM 77.500000 1697247013.8166
MEM 77.503906 1697247013.9373
MEM 77.503906 1697247014.0556
MEM 77.503906 1697247014.1757
MEM 77.503906 1697247014.2949
MEM 77.503906 1697247014.4128
MEM 77.503906 1697247014.5338
MEM 77.503906 1697247014.6553
MEM 77.503906 1697247014.7765
MEM 77.507812 1697247014.8966
MEM 77.511719 1697247015.0160
MEM 77.511719 1697247015.1374
MEM 77.511719 1697247015.2572
MEM 77.511719 1697247015.3755
MEM 77.511719 1697247015.4980
MEM 77.511719 1697247015.6211
MEM 77.511719 1697247015.7389
MEM 77.511719 1697247015.8590
MEM 77.511719 1697247015.9792
MEM 77.511719 1697247016.1007
MEM 77.511719 1697247016.2179
MEM 77.511719 1697247016.3390
MEM 77.511719 1697247016.4582
MEM 77.511719 1697247016.5771
MEM 77.511719 1697247016.6904
MEM 77.511719 1697247016.8056
MEM 77.511719 1697247016.9241
MEM 77.511719 1697247017.0416
MEM 77.511719 1697247017.1583
MEM 77.511719 1697247017.2756
MEM 77.511719 1697247017.3891
MEM 77.511719 1697247017.5058
MEM 77.511719 1697247017.6221
MEM 77.519531 1697247017.7379
MEM 77.519531 1697247017.8567
MEM 77.519531 1697247017.9710
MEM 77.558594 1697247018.0884
MEM 77.589844 1697247018.2047
MEM 77.589844 1697247018.3210
MEM 77.625000 1697247018.4368
MEM 77.625000 1697247018.5559
MEM 77.625000 1697247018.6682
MEM 77.628906 1697247018.7808
MEM 77.628906 1697247018.9008
MEM 77.628906 1697247019.0192
MEM 77.671875 1697247019.1380
MEM 77.671875 1697247019.2582
MEM 77.671875 1697247019.3784
MEM 77.671875 1697247019.4967
MEM 77.671875 1697247019.6162
MEM 77.671875 1697247019.7346
MEM 77.671875 1697247019.8505
MEM 77.671875 1697247019.9688
MEM 77.671875 1697247020.0953
MEM 77.671875 1697247020.2121
MEM 77.671875 1697247020.3320
MEM 77.671875 1697247020.4548
MEM 77.671875 1697247020.5713
MEM 77.671875 1697247020.6956
MEM 77.671875 1697247020.8161
MEM 77.671875 1697247020.9321
MEM 77.671875 1697247021.0510
MEM 77.671875 1697247021.1727
MEM 77.675781 1697247021.2903
MEM 77.675781 1697247021.4084
MEM 77.675781 1697247021.5288
MEM 77.675781 1697247021.6485
MEM 77.675781 1697247021.7703
MEM 77.675781 1697247021.8875
MEM 77.675781 1697247022.0052
MEM 77.675781 1697247022.1244
MEM 77.683594 1697247022.2402
MEM 77.683594 1697247022.3600
MEM 77.683594 1697247022.4776
MEM 77.683594 1697247022.5966
MEM 77.687500 1697247022.7186
MEM 77.691406 1697247022.8369
MEM 77.703125 1697247022.9584
MEM 77.730469 1697247023.0825
MEM 77.734375 1697247023.1950
MEM 77.734375 1697247023.3141
MEM 77.734375 1697247023.4319
MEM 77.734375 1697247023.5526
MEM 77.734375 1697247023.6743
MEM 77.734375 1697247023.7964
MEM 77.734375 1697247023.9154
MEM 77.734375 1697247024.0359
MEM 77.683594 1697247024.1581
MEM 77.683594 1697247024.2801
MEM 77.683594 1697247024.3989
MEM 77.683594 1697247024.5200
MEM 77.683594 1697247024.6405
MEM 77.683594 1697247024.7613
MEM 77.683594 1697247024.8838
MEM 77.683594 1697247025.0040
MEM 77.683594 1697247025.1243
MEM 77.683594 1697247025.2411
MEM 77.683594 1697247025.3589
MEM 77.683594 1697247025.4797
MEM 77.683594 1697247025.5994
MEM 77.683594 1697247025.7204
MEM 77.683594 1697247025.8378
MEM 77.683594 1697247025.9565
MEM 77.683594 1697247026.0767
MEM 77.683594 1697247026.1971
MEM 77.683594 1697247026.3200
MEM 77.683594 1697247026.4401
MEM 77.683594 1697247026.5576
MEM 77.683594 1697247026.6757
MEM 77.683594 1697247026.7991
MEM 77.683594 1697247026.9177
MEM 77.683594 1697247027.0365
MEM 77.683594 1697247027.1551
MEM 77.683594 1697247027.2742
MEM 77.683594 1697247027.3956
MEM 77.683594 1697247027.5144
MEM 77.683594 1697247027.6307
MEM 77.683594 1697247027.7520
MEM 77.683594 1697247027.8735
MEM 77.683594 1697247027.9947
MEM 77.683594 1697247028.1105
MEM 77.683594 1697247028.2289
MEM 77.683594 1697247028.3492
MEM 77.683594 1697247028.4702
